,acc_rating,amen_1,amen_10,amen_11,amen_12,amen_13,amen_14,amen_15,amen_16,amen_17,amen_18,amen_19,amen_2,amen_20,amen_21,amen_22,amen_23,amen_24,amen_25,amen_26,amen_27,amen_28,amen_29,amen_3,amen_30,amen_31,amen_32,amen_33,amen_34,amen_35,amen_36,amen_37,amen_38,amen_39,amen_4,amen_40,amen_41,amen_42,amen_43,amen_44,amen_45,amen_46,amen_47,amen_48,amen_49,amen_5,amen_50,amen_6,amen_7,amen_8,amen_9,bed_air,bed_couch,bed_futon,bed_real,bed_sofa,cancel_policy,checkin_rating,cleanliness_rating,communication_rating,dist_ferry,entire_home,guest_sat,host_other_rev_count,hosting_id,instant_book,is_apt,is_house,is_other,is_superhost,is_tent,is_townhouse,is_villa,lat,loc_rating,lon,num_bathrooms,num_bedrooms,num_beds,person_cap,pic_count,price,private_room,prop_type,review_count,review_score,saved_to_wishlist_count,shared_room,value_rating
15706101,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,4,10,10,10,0.16483506567033324,False,100,0,15706101,False,False,True,False,False,False,False,False,37.81154023078087,10,-122.22937425473518,1,1,1,2,9,38,True,House,4,100,41,False,10
15801360,10,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,3,10,10,10,0.1979293252381795,False,100,22,15801360,False,False,True,False,False,False,False,False,37.78722630901281,10,-122.19568786000403,1,1,1,1,3,32,True,House,11,100,33,False,10
2601171,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,5,10,10,10,0.1054405113765185,False,97,291,2601171,True,False,True,False,True,False,False,False,37.807287063748134,9,-122.28864562684969,1,1,1,2,7,39,True,House,276,97,1146,False,10
16245771,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,5,10,10,10,0.12784487583298176,False,97,12,16245771,True,False,True,False,False,False,False,False,37.688636049399506,10,-122.46342546067604,2,1,1,2,6,38,True,House,6,97,67,False,10
9198763,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,3,10,10,10,0.12750300995948197,False,98,92,9198763,False,False,True,False,False,False,False,False,37.84114852551706,9,-122.27434053621846,1.5,1,1,1,1,34,True,House,9,98,62,False,10
14507316,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,4,9,8,10,0.12251924029368248,False,72,188,14507316,False,True,False,False,False,False,False,False,37.81580464345277,6,-122.27259337322896,1,1,1,4,2,30,True,Apartment,5,72,15,False,8
10746296,9,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,5,9,8,8,0.11536067925661525,False,82,167,10746296,True,False,True,False,False,False,False,False,37.82247452329365,8,-122.28124683442968,1,1,1,2,5,40,True,House,25,82,203,False,9
13319551,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,3,10,9,10,0.13754558797870314,False,97,9,13319551,False,False,True,False,False,False,False,False,37.842100506920865,9,-122.2639838721648,0.5,1,1,2,14,40,True,House,7,97,46,False,10
16846956,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,True,False,3,,,,0.11826119223147195,False,,0,16846956,True,True,False,False,False,False,False,False,37.846191419127365,,-122.28653462883133,1,1,1,3,14,35,True,Apartment,0,,3,False,
13566467,9,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,5,9,9,9,0.10174419274330877,False,90,153,13566467,False,False,True,False,False,False,False,False,37.811472779046106,8,-122.29293693404523,1,1,1,1,21,33,True,House,23,90,120,False,9
13512916,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,4,10,10,10,0.1496920956907236,False,96,0,13512916,False,False,True,False,True,False,False,False,37.7947590146989,9,-122.24374939768347,1.5,1,1,1,6,40,True,House,34,96,78,False,10
14078631,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,True,True,True,False,True,False,False,True,False,True,True,True,False,False,True,False,False,False,False,True,False,4,10,10,10,0.126316228403355,False,98,0,14078631,False,True,False,False,False,False,False,False,37.81953385934766,9,-122.2694065027934,1,1,1,1,9,38,True,Apartment,9,98,32,False,10
14770931,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,3,,,,0.12466946379548315,False,,12,14770931,True,False,False,False,False,True,False,False,37.82219383700124,,-122.27163396798528,1.5,1,1,1,37,35,True,Tent,0,,17,False,
15110752,10,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,3,10,10,10,0.12799626460159222,False,100,8,15110752,False,False,True,False,True,False,False,False,37.831371678614964,9,-122.27053629161144,1,1,1,1,8,35,True,House,7,100,8,False,10
12813448,9,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,3,9,9,10,0.21819568741717846,False,92,119,12813448,True,False,True,False,False,False,False,False,37.73404563875773,9,-122.18411249286368,1,1,1,2,10,30,True,House,57,92,197,False,9
11419858,10,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,4,10,9,10,0.12364226846119661,False,95,0,11419858,False,False,True,False,False,False,False,False,37.84480828990276,9,-122.28000083266902,1,1,1,2,5,40,True,House,39,95,98,False,10
9729022,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,True,False,5,9,8,9,0.20054548160132254,False,83,6,9729022,False,False,True,False,False,False,False,False,37.783125541451184,8,-122.1932833013039,1,1,1,1,5,29,True,House,23,83,271,False,9
12992443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9806664,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,3.0,,,,0.16783392818788376,False,,0.0,9806664.0,False,False,True,False,False,False,False,False,37.783446031293856,,-122.22604739661409,1,1,1,1.0,13.0,22.0,True,House,0.0,,34.0,False,
6292247,10,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3.0,10,9,10,0.14368395612970797,False,100,0.0,6292247.0,True,False,True,False,False,False,False,False,37.78924982981072,10,-122.24989645595531,3,1,1,2.0,3.0,40.0,True,House,3.0,100,14.0,False,10
